"CAFE IL MONDO, LLC",HONOKAA,45-3626-A MAMANE STREET,,96727,HI
IHOP,HILO,"111 E. PUAINAKO STREET, SPACE 790",,96815,HI
CAFE PESTO,HILO,308 KAMEHAMEHA AVENUE,,96720,HI
HOKULANI'S STEAK HOUSE,KEAAU,"16-586 OLD VOLCANO ROAD, #106",,96818,HI
HAMAKUA SPORTS BAR & GRILL,HONOKAA,"45-3490 G MAMANE STREET, UNIT G",,92727,HI
COCONUT GRILL,HILO,136 BANYAN WAY,,96720,HI
HILO BAY CAFÉ,HILO,"315 MAKAALA STREET, #109",,96720,HI
HAWAIIAN VANILLA CO.,PAAUILO,43-2007 PAAUILO MAUKA ROAD,,96776,HI
HILO TOWN TAVERN & PIZZA,HILO,168 KEAWE STREET,,96720,HI
CLUB RAINBOW-HILO,HILO,"688 KINOOLE STREET, UNIT 128",,96720,HI
KARMA HI,HILO,124 MAKAALA STREET,,96720,HI
KILAUEA GENERAL STORE,VOLCANO,19-3972 OLD VOLCANO ROAD,,96785,HI
JOLENE'S KAU KAU KORNER,HONOKAA,P.O. BOX  374,,96727,HI
HILO YACHT CLUB,HILO,77 LAEHALA STREET,,96720,HI
FIFTIES HIGHWAY FOUNTAIN,LAUPAHOEHOE,35-2074 OLD GOVERNMENT ROAD,,96776,HI
"KALANI HONUA, INC.",PAHOA,OCEAN HIGHWAY 137,,96778,HI
ANNA'S LOUNGE,HILO,399 E. KAWILI STREET,,96720,HI
DON'S GRILL,HILO,485 HINANO STREET,,96720,HI
NIHON RESTAURANT,HILO,123 LIHIWAI STREET,,96720,HI
MAXXWELLS LANDING-HILO-CAFÉ,HILO,HILO INT'L AIRPORT,,29306,HI
MIYO'S LLC,HILO,400 HUALANI STREET,,96720,HI
KOZMIC CONES,HILO,317 WAIANUENUE AVENUE,,96720,HI
KOPE KOPE ESPRESSO CAFÉ,HILO,"1261 KILAUEA AVENUE, #220",,96720,HI
NANILOA VOLCANOES RESORT,HILO,93 BANYAN DRIVE,,96720,HI
QUEENS COURT RESTAURANT,HILO,71 BANYAN DRIVE,,96720,HI
NING'S THAI CUISINE,PAHOA,15-2955 OLD PAHOA ROAD,,96778,HI
LE MAGIC PAN,HILO,64 KEAWE STREET,,96720,HI
RESTAURANT OSAKA,HILO,762 KANOELEHUA AVENUE,,96720,HI
KOREANA RESTAURANT AND LOUNGE,HILO,88 KANOELEHUA AVENUE,,96720,HI
NEW SAIGON VIETNAM - RESTAURANT,HILO,96 KALANIANAOLE AVENUE,,96720,HI
PHO VIET RESTAURANT,HILO,80 KILAUEA AVENUE,,96720,HI
MAUNA KEA OBSERVATORY SUPPORT SERVICES,HILO,MAUNA KEA MOUNTAIN,,96720,HI
PAOLO'S BISTRO,PAHOA,333 OLD GOVERNMENT ROAD,,96778,HI
"PONDS HILO, INC.",HILO,135 KALANIANAOLE AVENUE,,96781,HI
REUBEN'S MEXICAN FOOD,HILO,336 KAMEHAMEHA AVENUE,,96720,HI
PLANTATION KITCHEN,HILO,87B BANYAN DRIVE,,96720,HI
BLANE'S DRIVE INN - HONOKA'A,HONOKA'A,45-497 KIKA STREET,,96727,HI
CAFÉ OHIA,VOLCANO,19-4005 HAUNANI ROAD,,96785,HI
BLANE'S DRIVE INN,HILO,150 WIWOOLE STREET,,96720,HI
CHENG'S,HILO,"14 W. LANIKAULA STREET, SUITE #101",,96720,HI
BLANE'S DRIVE INN - ORCHIDLAND,KEAAU,16-127 ORCHIDLAND DRIVE,,96720,HI
"ASIANA CUISINE ENTERPRISES-ACE SUSHI, FL #26",HILO,2100 KANOELEHUA AVENUE,,90248,HI
VOLCANO GOLF & COUNTRY CLUB REST.,VOLCANO GOLF COURSE,99-1621 PIIMAUNA DRIVE,,96718,HI
UNCLE BILLY'S RESTAURANT-BAR,HILO,87 BANYAN DRIVE,,96720,HI
"WAIANUHEA, LLC",HONOKAA,45-3503 KAHANA DRIVE,,96727,HI
BLAZIN STEAKS,HILO,"111 PUAINAKO STREET, #594",,96720,HI
BURGER KING - PAHOA,PAHOA,15-1452 KAHAKAI BOULEVARD,,96778,HI
CHEN'S CHINESE KITCHEN,HILO,"111 E. PUAINAKO STREET, #590",,96720,HI
ARBY'S RESTAURANT,HILO,111 E. PUAINAKO STREET,,96790,HI
ASAMI'S KITCHEN,HILO,308 KILAUEA AVENUE,,96720,HI
BOOGIE WOOGIE PIZZA,PAHOA,15-2937 PAHOA VILLAGE ROAD,,96720,HI
AFFORDABLE CATERING,HILO,811 LAUKAPU STREET,,96720,HI
"BAKER TOM'S ""A CALL OF THE WILD STATION""",PAPAIKOU,27-2111 MAMALAHOA HIGHWAY,,96720,HI
AFC SUSHI @ SAFEWAY #2893,HILO,381 E. MAKAALA STRET,,90220,HI
DOMINO'S PIZZA,HILO,419 KILAUEA AVENUE,,96281,HI
JAMBA JUICE,HILO,"111  E. PUAINAKO STREET, UNIT 103",,96814,HI
J & J DINER,KEAAU,16-566 PAHOA ROAD,,96749,HI
HILO L & L DRIVE-INN,HILO,315 MAKAALA STREET,,96720,HI
"KANDI'S DRIVE INN, INC.",HILO,56 W. KAWAILANI STREET,,96720,HI
EMMA'S MEXICAN FOOD TAKEOUT,KEAAU,16-203 WILIAMA PLACE,,96749,HI
H & K LUNCH SHOP,HILO,14 W. LANIKAULA STREET,,96720,HI
HILO COFFEE MILL,MOUNTAIN VIEW,17-995 VOLCANO ROAD,,96760,HI
EMMA'S MEXICAN FOOD TAKE OUT,KEAAU,16-203 WILIAMA PLACE,,96749,HI
HILO RICE NOODLE SOUP,HILO,1990 KINOOLE STREET,,96720,HI
KAALAIKI LUNCH SHOP,NAALEHU,NAALEHU,,96772,HI
HILO DRIVE-INN,HILO,165 E. KAWILI STREET,,96720,HI
HAWAII NO. 1 CHINESE BBQ II INC.,PAHOA,"15-2660 PAHOA VILLAGE ROAD, #104",,96720,HI
