premise_name,premise_city,premise_address1,premise_address2,premise_zip,premi se_state,premise_phone,geolocation
SOUTHWEST ELEM SCHOOL,DURHAM,2320 COOK RD,,27713,NC,(919) 560-3972,35.9285504; -78.9237549
COLONY PARK HOA,DURHAM,2503 TANGLEWOOD ROAD,,27705,NC,,35.980179; -78.96408
PARKWOOD VILLAGE,DURHAM,1304 SEATON RD,,27713,NC,,35.89268; -78.9134629
DOUBLETREE BY HILTON RDU,DURHAM,4810 PAGE CREEK LANE,,27703,NC,,35.8842134; -78.8439768
UMSTEAD PINES FORMERLY WILLOWHAVEN,DURHAM,253 COUNTRY CLUB,,27712,NC,,36.0694131; -78.9684915
LAQUINTA INN,DURHAM,1910 WEST PARK DR,,27713,NC,,35.9080658; -78.8912723
RESIDENCE INN,DURHAM,201 RESIDENCE INN BLVD,,27713,NC,,35.9041757; -78.8974251
HARDEE'S OF DUKE STREET  1613,DURHAM,3912 N. DUKE STREET,,27704,NC,(919) 477-8830,36.0537888; -78.9037814
MOTEL 6,DURHAM,3454 HILLSBOROUGH RD,,27705,NC,(919) 309-0037,36.0208896; -78.9477182
WYNDCROSS HOA,DURHAM,6722 RUSS FORD LANE,,27713,NC,,35.9316339; -79.1079279
SUMMIT SQUARE APTS,DURHAM,614 SNOWCREST TR,,27707,NC,,35.9603723; -78.9655895
ITALIAN PIZZERIA,DURHAM,3500 N ROXBORO ROAD,,27704,NC,(919) 220-1386,36.0553803; -78.9033564
QUALITY MART  43,DURHAM,2007 PRESIDENTIAL DRIVE,,27703,NC,(919) 361-1052,35.929529; -78.843512
SPEEDWAY,DURHAM,1400 S MIAMI BLVD,,27703,NC,(919) 596-2057,35.9560013; -78.8418243
DURHAM RIDGE ASSISTED LIVING,DURHAM,3420 HOLLOWAY ST,,27703,NC,(919) 596-9464,35.9824671; -78.8295962
NCCU CHILD DEVELOPMENT LAB,DURHAM,NCCU HOME ECONOMICS BLDG,LAWSON ST,27707,NC,(919) 530-6447,35.9754293; -78.8995651
JEWISH COMMUNITY DAY SCHOOL,DURHAM,1935 CORNWALLIS RD,,27705,NC,(919) 286-5517,35.9819734; -78.9544447
LOVE N JOY CHILD ACADEMY,DURHAM,807 RIDGEWAY AVE,,27701,NC,(919) 682-3358,35.978684; -78.890353
DURHAM CO DETENTION FACILITY,DURHAM,219 S MANGUM ST,,27701,NC,,35.9935941; -78.9016034
SEVEN OAKS TOWNHOMES,DURHAM,200 SEVEN OAKS RD,,27704,NC,,36.0686297; -78.9046042
CRICKET INN,DURHAM,1815 FRONT ST,,27705,NC,,36.0296779; -78.9371908
FAMILY FARE INC.,CHAPEL HILL,6007 FARRINGTON RD.,,27514,NC,(919) 490-6464,35.9115178; -78.9835277
TOMO JAPAN,DURHAM,1058 W CLUB BLVE SPACE 560,,27701,NC,(336) 260-0197,36.018111; -78.9102149
MORRENE ROAD,DURHAM,1102 MORRENE RD.,,27705,NC,,36.0071709; -78.9554813
SUBWAY  39636,DURHAM,5400 S MIAMI BLVD,SUITE 118,27703,NC,(919) 991-1800,35.8822361; -78.8511586
FOOD LION MEAT MARKET #747,DURHAM,3500 N ROXBORO RD,,27704,NC,(919) 220-7651,36.0553803; -78.9033564
QUALITY INN & SUITES,DURHAM,3710 HILLSBOROUGH ROAD,,27705,NC,(919) 382-9298,36.02501; -78.956104
AVILA RETREAT CENTER,DURHAM,711 MASON ROAD,,27712,NC,(919) 477-1285,36.1218465; -78.9198633
EXTENDED STAY AMERICA #9683,DURHAM,1920 IVEY CREEK BLVD,,27707,NC,,35.960063; -78.961433
EXTENDED STAY AMERICA #9836,DURHAM,4919 S MIAMI BLVD,,27703,NC,(919) 998-0400,35.8878542; -78.8484087
SUBWAY,DURHAM,2120 AVONDALE DRIVE,,27704,NC,(919) 220-5171,36.0166595; -78.8890399
WYNDCROSSE,DURHAM,6722 ROSS FORD LANE,,27713,NC,,35.9049734; -78.9327858
ANGELICA HOUSES FAMILY CARE HOME,DURHAM,2007 STADIUM DRIVE,,27705,NC,(919) 477-6540,36.045173; -78.918719
